Tipo Auxiliar,Horas,Valor Hora,GENERO,FACULTAD,SEDE,SEMESTRAL,Total
Auxiliares Extensión,49,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,2,338100
Auxiliares Sistemas,192,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,2,1324800
Auxiliares Sistemas,84,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,9,579600
Auxiliares Extensión,72,6900,Hombre,"Ciencias Economicas, Adtivas y Contables",Armenia,2,496800
Auxiliares Sistemas,76,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,6,524400
Auxiliares Sistemas,192,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,6,1324800
Auxiliares Sistemas,192,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,6,1324800
Auxiliares Sistemas,192,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,6,1324800
Auxiliares Sistemas,196,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,4,1352400
Auxiliares Sistemas,84,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,9,579600
Auxiliares Extensión,129,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,4,890100
Auxiliares Sistemas,84,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,9,579600
Auxiliares Sistemas,192,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,9,1324800
Auxiliares Investigación,78,6900,Hombre,"Ciencias Economicas, Adtivas y Contables",Armenia,9,538200
Auxiliares Docencia,94,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,8,648600
Auxiliares Sistemas,120,6900,Hombre,"Ciencias Economicas, Adtivas y Contables",Armenia,5,828000
Auxiliares Investigación,100,6900,Hombre,"Ciencias Economicas, Adtivas y Contables",Armenia,6,690000
Auxiliares Sistemas,192,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,5,1324800
Auxiliares Sistemas,192,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,5,1324800
Auxiliares Docencia,25,6900,Hombre,"Ciencias Economicas, Adtivas y Contables",Armenia,7,172500
Auxiliares Docencia,27,6900,Hombre,"Ciencias Economicas, Adtivas y Contables",Armenia,7,186300
Auxiliares Docencia,66,6900,Hombre,"Ciencias Economicas, Adtivas y Contables",Armenia,7,455400
Auxiliares Docencia,66,6900,Hombre,"Ciencias Economicas, Adtivas y Contables",Armenia,7,455400
Auxiliares Docencia,66,6900,Hombre,"Ciencias Economicas, Adtivas y Contables",Armenia,7,455400
Auxiliares Docencia,66,6900,Hombre,"Ciencias Economicas, Adtivas y Contables",Armenia,7,455400
Auxiliares Sistemas,84,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,8,579600
Auxiliares Sistemas,192,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,8,1324800
Auxiliares Sistemas,84,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,9,579600
Auxiliares Sistemas,192,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,9,1324800
Auxiliares Sistemas,84,6900,Hombre,"Ciencias Economicas, Adtivas y Contables",Armenia,9,579600
Auxiliares Sistemas,84,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,5,579600
Auxiliares Sistemas,192,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,5,1324800
Auxiliares Sistemas,84,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,9,579600
Auxiliares Sistemas,192,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,9,1324800
Auxiliares Sistemas,192,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,9,1324800
Auxiliares Extensión,65,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,8,448500
Auxiliares Administrativos,199,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,6,1373100
Auxiliares Administrativos,190,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,7,1311000
Auxiliares Administrativos,199,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,7,1373100
Auxiliares Sistemas,84,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,5,579600
Auxiliares Sistemas,84,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,7,579600
Auxiliares Sistemas,200,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,7,1380000
Auxiliares Sistemas,84,6900,Hombre,"Ciencias Economicas, Adtivas y Contables",Armenia,9,579600
Auxiliares Sistemas,84,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,9,579600
Auxiliares Docencia,20,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,8,138000
Auxiliares Docencia,25,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,8,172500
Auxiliares Docencia,27,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,8,186300
Auxiliares Extensión,102,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,8,703800
Auxiliares Sistemas,84,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,9,579600
Auxiliares Sistemas,192,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,9,1324800
Auxiliares Sistemas,192,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,9,1324800
Auxiliares Sistemas,84,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,9,579600
Auxiliares Sistemas,192,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,9,1324800
Auxiliares Sistemas,192,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,9,1324800
Auxiliares Sistemas,84,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,9,579600
Auxiliares Sistemas,200,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,9,1380000
Auxiliares Sistemas,192,6900,Hombre,"Ciencias Economicas, Adtivas y Contables",Armenia,6,1324800
Auxiliares Sistemas,84,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,9,579600
Auxiliares Sistemas,196,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,9,1352400
Auxiliares Extensión,76,6900,Hombre,"Ciencias Economicas, Adtivas y Contables",Armenia,2,524400
Auxiliares Docencia,40,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Buga,6,276000
Auxiliares Extensión,62,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,5,427800
Auxiliares Administrativos,151,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,3,1041900
Auxiliares Sistemas,192,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,1,1324800
Auxiliares Extensión,35,6900,Hombre,"Ciencias Economicas, Adtivas y Contables",Armenia,4,241500
Auxiliares Sistemas,192,6900,Hombre,"Ciencias Economicas, Adtivas y Contables",Armenia,8,1324800
Auxiliares Sistemas,84,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,9,579600
Auxiliares Investigación,78,6900,Mujer,"Ciencias Economicas, Adtivas y Contables",Armenia,9,538200
Auxiliares Docencia,40,6900,Hombre,"Ciencias Economicas, Adtivas y Contables",Buga,6,276000
Auxiliares Sistemas,192,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,3,1324800
Auxiliares Investigación,51,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,4,351900
Auxiliares Extensión,28,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,1,193200
Auxiliares Administrativos,105,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,9,724500
Auxiliares Administrativos,160,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,9,1104000
Auxiliares Administrativos,105,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,4,724500
Auxiliares Sistemas,192,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,5,1324800
Auxiliares Sistemas,200,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,5,1380000
Auxiliares Sistemas,84,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,9,579600
Auxiliares Administrativos,105,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,1,724500
Auxiliares Administrativos,105,6900,Hombre,Ciencias Humanas y Bellas Artes,Armenia,1,724500
Auxiliares Sistemas,84,6900,Mujer,Ciencias Humanas y Bellas Artes,Armenia,8,579600
